P[hPa] T[K] Qv[g/kg] U[m/s] V[m/s]
412.0000 259.1863 0.0000 0 0
411.0000 259.0711 0.0000 0 0
410.0000 258.9559 0.0000 0 0
409.0000 258.8407 0.0000 0 0
408.0000 258.7254 0.0000 0 0
407.0000 258.6102 0.0000 0 0
406.0000 258.4950 0.0000 0 0
405.0000 258.3798 0.0000 0 0
404.0000 258.2646 0.0000 0 0
403.0000 258.1493 0.0000 0 0
402.0000 258.0341 0.0000 0 0
401.0000 257.9189 0.0000 0 0
400.0000 257.8037 0.0000 0 0
399.0000 257.6885 0.0000 0 0
398.0000 257.5733 0.0000 0 0
397.0000 257.4580 0.0000 0 0
396.0000 257.3428 0.0000 0 0
395.0000 257.2276 0.0000 0 0
394.0000 257.1124 0.0000 0 0
393.0000 256.9972 0.0000 0 0
392.0000 256.8819 0.0000 0 0
391.0000 256.7667 0.0000 0 0
390.0000 256.6515 0.0000 0 0
389.0000 256.5363 0.0000 0 0
388.0000 256.4211 0.0000 0 0
387.0000 256.3059 0.0000 0 0
386.0000 256.1906 0.0000 0 0
385.0000 256.0754 0.0000 0 0
384.0000 255.9602 0.0000 0 0
383.0000 255.8450 0.0000 0 0
382.0000 255.7298 0.0000 0 0
